"creators_name.family","creators_name.given","title","date","related_url","pages_aacr","thesis_degree_name"
"Aaron","Mandie","Differences in the CBC and CTV News broadcasts' use of selected production variables ","1990","http://clues.concordia.ca/search/c?SEARCH=PN 4914 T4A16 1990","112 leaves : ill. ; 29 cm.","Theses (M.A.)"
"Aaron","Mandie","An exploration of the applicability and utility of fault tree analysis to the diffusion of technological innovation in educational systems ","2001","http://clues.concordia.ca/search/c?SEARCH=LB 1028.3 A24 2001","xi, 204 leaves ; 29 cm. + 1 computer optical disc (4 3/4 in.)","Theses (Ph.D.)"
"Abadir","Nader A","Computer simulation for the layout of a point-to-point radio system ","1977","http://clues.concordia.ca/search/c?SEARCH=TK 6553 A22+","105 leaves in various foliations, 3 fold. leaves of plates : ill. ; 29 cm.","Theses (M.Eng.)"
"Abairid","Mabrouk R","Tracing centre-lines of digital patterns using maximal-square and maximal-circle algorithms ","1987","http://clues.concordia.ca/search/c?SEARCH=TA 1632 A17+ 1987","iv, 78 leaves : ill. ; 29 cm.","Theses (M.Comp.Sc.)"
"Abassi","Jamila","It's not easy being green : people, potatoes, and pesticides on Prince Edward Island ","2004","http://clues.concordia.ca/search/c?SEARCH=HD 9235 P82P82 2004","vii, 196 leaves ; 29 cm.","M.A."
"Abbadi","Eyad Mahmoud Aref","Phytoextraction of zinc from hydroponic solutions ","2010","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66B85M 2010 A23","xii, 87 leaves : ill. ; 29 cm.","M.A. Sc."
"Abbas","Abdullah Omer A","Topological approaches to 3D mesh watermarking ","2008","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66I54M 2008 A23","ix, 72 leaves : ill. ; 29 cm.","M.A. Sc."
"Abbasy","Farzaan","Thermal conductivity of mine backfill ","2009","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66B85M 2009 A23","xv, 139 leaves : ill. ; 29 cm.","M.A. Sc."
"Abbondanza","Mona","On becoming Christian : a dialogue between social psychology and theology on Christian identity ","2009","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66T44M 2010 A23","vii, 69 leaves : ill. ; 29 cm.","M.A."
"Abbondanza-Bergeron","Andréanne","The post-art school transition : a journey through incompatible worlds ","2010","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66A33M 2010 A33","vii, 60 leaves : ill. ; 29 cm.","M.A."
"Abbott","Douglas","Friends and relations : a book of short fiction ","1979","http://clues.concordia.ca/search/c?SEARCH=PS 8551 B3F7+","150 leaves ; 29 cm.","Theses (M.A.)"
"Abboud","Salim","The effect of x-radiation on divalent cation uptake by bean (Phaseolus Vulgaris) mitochondria ","1978","http://clues.concordia.ca/search/c?SEARCH=QH 603 M5A2+","iii, 59 leaves : graphs ; 29 cm.","Theses (M.Sc.)"
"Abd El-Maksoud","Mohamed A","Dynamic analysis and buckling of variable thickness laminated composite beams using conventional and advanced finite element formulations ","2000","http://clues.concordia.ca/search/c?SEARCH=TA 664 A23 2000","xx, 217 leaves : ill. ; 29 cm.","Theses (M.A.Sc.)"
"Abdalla","Mohamed Musa","Automatic generation of SDL specifications from MSCs ","1999","http://clues.concordia.ca/search/c?SEARCH=QA 76.76 D47A23 1999","xv, 129 leaves : ill. ; 29 cm.","Theses (M.A.Sc.)"
"Abdallah","Chahrazed","A study of the impact of pluralism of the board of directors on corporate social responsibility ","1998","http://clues.concordia.ca/search/c?SEARCH=HD 60.5 C2A23 1998","viii, 71 leaves ; 29 cm.","Theses (M.Sc.Admin.)"
"Abdallah","Emad Eddien Awad","Robust digital watermarking techniques for multimedia protection ","2009","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66C67P 2009 A234","xvii, 155 leaves : ill. ; 29 cm.","Ph. D."
"Abdallah","Alaa Eddien Awad","Position-based routing algorithms for three-dimensional ad hoc networks ","2009","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66C67P 2009 A23","xv, 140 leaves : ill. ; 29 cm.","Ph. D."
"Abdallah","Samantha","Art therapy, resilience, and adolescents in alternative learning environments : case study of 15 year old boy's creative journey ","2009","http://clues.concordia.ca/search/c?SEARCH=RC 489 A7C6+ 2009 no.12","vii, 91 leaves : ill. ; 29 cm.","M.A."
"Abdel Messie","Joud","Layered hybrid ARQ/FEC for increasing quality of service for MPEG 1-2 video communication over networks : design and practical implementation ","2003","http://clues.concordia.ca/search/c?SEARCH=TK 6680.5 A23 2003","xv, 114 leaves : ill. ; 29 cm.","Theses (M.A.Sc.)"
"Abdel-hak","Mayada","Testing real-time systems using TTCN-3 ","2006","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66E44M 2006 A22","xii, 119 leaves : ill.  ; 29 cm.","M.A. Sc."
"Abdel-Hamid","Amr Talaat","A hierarchical verification of the IEEE-754 table-driven floating-point exponential function using HOL ","2001","http://clues.concordia.ca/search/c?SEARCH=QA 76.9 C62A23 2001","viii, 65 leaves : ill. ; 29 cm.","Theses (M.A.Sc.)"
"Abdel-Hamid","Amr Talaat","Watermarking techniques for intellectual property protection in SOC designs ","2006","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66E44P 2006 A23","xiv, 107 leaves : ill. ; 29 cm.","Ph. D."
"Abdel-Mannan","Osama","Incremental dimentionality reduction : Algorithms and applications ","2007","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66E44M 2007 A22","x, 94 leaves : ill. ; 29 cm.","M.A. Sc."
"Abdel-Rahman","Mohamed","Geotechnical behavior of shell foundations ","1996","http://clues.concordia.ca/search/c?SEARCH=TA 775 A2 1996","xxi, 275 leaves : ill. (some col.) ; 29 cm.","Theses (Ph.D.)"
"Abdelaziz","Gamal","An axisymmetrical model for a single vertical pile in sand ","2000","http://clues.concordia.ca/search/c?SEARCH=TA 780 A23 2000","xxix, 324 leaves : ill. ; 29 cm.","Theses (Ph.D.)"
"Abdelgawad","Mohamed Omar","Numerical simulation of transient performance of viscous micropumps ","2003","http://clues.concordia.ca/search/c?SEARCH=TJ 901 A23 2003","xii, 159 leaves : ill. ; 29 cm.","Theses (M.A.Sc.)"
"Abdelhay","Khaled","3D character animation using geometric constraints ","2008","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66C67M 2008 A23","viii, 72 leaves : ill. ; 29 cm.","M. Comp. Sc."
"Abdelmalek","Samir","A computer-aided approach to the approximation problem of elliptic filters ","1975","http://clues.concordia.ca/search/c?SEARCH=TK 7872 F5A14X","viii, 59 leaves : ill.","Theses (M.Eng.)"
"Abdi","Naziha","Écriture féminine et traduction d'œuvres écrites par des femmes dans deux nouvelles d'Elizabeth Stuart Phelps : ""The Cloudy Morning"" et ""The Angel Over the Right Shoulder"" ","2002","http://clues.concordia.ca/search/c?SEARCH=PS 3143 A52 2002","vi, 122 leaves ; 29 cm.","Theses (M.A.)"
"Abdo","Hadeel I","Immigrant Arabs and immigrant Jews in Montreal : their social interaction and attitudes toward the Arab-Israeli conflict ","2000","http://clues.concordia.ca/search/c?SEARCH=FC 2947.9 A1A23 2000","153 leaves : maps ; 29 cm.","Theses (M.A.)"
"Abdol-Hamid","Khaled Sayed","Behaviour and fault-locating methods of a train-line with leakage ","1983","http://clues.concordia.ca/search/c?SEARCH=TF 420 A22+ 1983","xvi, 185 leaves : ill., graphs ; 29 cm.","Theses (M.Eng.)"
"Abdollahi","Farzaneh","An H {592}[infinity] dynamic routing control of networked multi-agent systems ","2008","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66E44P 2008 A23","xv, 195 leaves : ill. ; 29 cm.","Ph. D."
"Abdou","Adel A. M","Transient sound intensity measurements for evaluating the spatial information of sound fields in reverberant enclosures ","1994","http://clues.concordia.ca/search/c?SEARCH=NA 2800 A28 1994","xx, 276 leaves : ill. (some col.) ; 29 cm.","Theses (Ph.D.)"
"Abdou","Jamal","The design and implementation of a C-band dual-transistor power amplifier ","2002","http://clues.concordia.ca/search/c?SEARCH=TK 7871.58 P6A23 2002","xi, 93 leaves : ill. ; 29 cm.","Theses (M.A.Sc.)"
"Abdul-Nabi","Lina","Modelling of air barrier characteristics in predicting the moisture performance of building envelopes ","1996","http://clues.concordia.ca/search/c?SEARCH=TH 9031 A2 1996","127 leaves in various foliations : ill. ; 29 cm.","Theses (M.A.Sc.)"
"Abdul-Rahim","Rania","An exploration of the place and function of voice in the drama therapeutic process ","2006","http://clues.concordia.ca/search/c?SEARCH=RC 489 A7C6+ 2006 no.20","ix, 78 leaves : ill. ; 29 cm.","M.A."
"Abdulezer","Alfred","Ultimate strength in diagonal splitting of reinforced concrete thin wall ribbed panels ","1974","http://clues.concordia.ca/search/c?SEARCH=TA 445 A25+","x, 102 leaves : illus. ; 29 cm.","Theses (M.Eng.)"
"Abdulhadi","A. E","Analysis and design of single-fed circularly polarized circular microstrip antennas ","2007","http://clues.concordia.ca/search/c?SEARCH=LE 3 C66E44M 2007 A23","xv, 84 leaves : ill. ; 29 cm.","M.A. Sc."
